categoric-_,categoric-_,categoric-_,categoric-_,categoric-_,categoric-_,class-_
xstab,xl_error,pp_sign,head_wind,low_magnitude,visibility,pos
xstab,xl_error,pp_sign,head_wind,medium_magnitude,visibility,pos
xstab,xl_error,pp_sign,head_wind,strong_magnitude,visibility,pos
xstab,xl_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,xl_error,pp_sign,tail_wind,low_magnitude,visibility,pos
xstab,xl_error,pp_sign,tail_wind,medium_magnitude,visibility,pos
xstab,xl_error,pp_sign,tail_wind,strong_magnitude,visibility,pos
xstab,xl_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,xl_error,nn_sign,head_wind,low_magnitude,visibility,pos
xstab,xl_error,nn_sign,head_wind,medium_magnitude,visibility,pos
xstab,xl_error,nn_sign,head_wind,strong_magnitude,visibility,pos
xstab,xl_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,xl_error,nn_sign,tail_wind,low_magnitude,visibility,pos
xstab,xl_error,nn_sign,tail_wind,medium_magnitude,visibility,pos
xstab,xl_error,nn_sign,tail_wind,strong_magnitude,visibility,pos
xstab,xl_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,lx_error,pp_sign,head_wind,low_magnitude,visibility,pos
xstab,lx_error,pp_sign,head_wind,medium_magnitude,visibility,pos
xstab,lx_error,pp_sign,head_wind,strong_magnitude,visibility,pos
xstab,lx_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,lx_error,pp_sign,tail_wind,low_magnitude,visibility,pos
xstab,lx_error,pp_sign,tail_wind,medium_magnitude,visibility,pos
xstab,lx_error,pp_sign,tail_wind,strong_magnitude,visibility,pos
xstab,lx_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,lx_error,nn_sign,head_wind,low_magnitude,visibility,pos
xstab,lx_error,nn_sign,head_wind,medium_magnitude,visibility,pos
xstab,lx_error,nn_sign,head_wind,strong_magnitude,visibility,pos
xstab,lx_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,lx_error,nn_sign,tail_wind,low_magnitude,visibility,pos
xstab,lx_error,nn_sign,tail_wind,medium_magnitude,visibility,pos
xstab,lx_error,nn_sign,tail_wind,strong_magnitude,visibility,pos
xstab,lx_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,mm_error,pp_sign,head_wind,low_magnitude,visibility,pos
xstab,mm_error,pp_sign,head_wind,medium_magnitude,visibility,pos
xstab,mm_error,pp_sign,head_wind,strong_magnitude,visibility,pos
xstab,mm_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,mm_error,pp_sign,tail_wind,low_magnitude,visibility,pos
xstab,mm_error,pp_sign,tail_wind,medium_magnitude,visibility,pos
xstab,mm_error,pp_sign,tail_wind,strong_magnitude,visibility,pos
xstab,mm_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,mm_error,nn_sign,head_wind,low_magnitude,visibility,pos
xstab,mm_error,nn_sign,head_wind,medium_magnitude,visibility,pos
xstab,mm_error,nn_sign,head_wind,strong_magnitude,visibility,pos
xstab,mm_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,mm_error,nn_sign,tail_wind,low_magnitude,visibility,pos
xstab,mm_error,nn_sign,tail_wind,medium_magnitude,visibility,pos
xstab,mm_error,nn_sign,tail_wind,strong_magnitude,visibility,pos
xstab,mm_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,ss_error,pp_sign,head_wind,low_magnitude,visibility,pos
xstab,ss_error,pp_sign,head_wind,medium_magnitude,visibility,pos
xstab,ss_error,pp_sign,head_wind,strong_magnitude,visibility,pos
xstab,ss_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,ss_error,pp_sign,tail_wind,low_magnitude,visibility,pos
xstab,ss_error,pp_sign,tail_wind,medium_magnitude,visibility,pos
xstab,ss_error,pp_sign,tail_wind,strong_magnitude,visibility,pos
xstab,ss_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,ss_error,nn_sign,head_wind,low_magnitude,visibility,pos
xstab,ss_error,nn_sign,head_wind,medium_magnitude,visibility,pos
xstab,ss_error,nn_sign,head_wind,strong_magnitude,visibility,pos
xstab,ss_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,ss_error,nn_sign,tail_wind,low_magnitude,visibility,pos
xstab,ss_error,nn_sign,tail_wind,medium_magnitude,visibility,pos
xstab,ss_error,nn_sign,tail_wind,strong_magnitude,visibility,pos
xstab,ss_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,lx_error,pp_sign,head_wind,low_magnitude,visibility,pos
stab,lx_error,pp_sign,head_wind,medium_magnitude,visibility,pos
stab,lx_error,pp_sign,head_wind,strong_magnitude,visibility,pos
stab,lx_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,lx_error,pp_sign,tail_wind,low_magnitude,visibility,pos
stab,lx_error,pp_sign,tail_wind,medium_magnitude,visibility,pos
stab,lx_error,pp_sign,tail_wind,strong_magnitude,visibility,pos
stab,lx_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,lx_error,nn_sign,head_wind,low_magnitude,visibility,pos
stab,lx_error,nn_sign,head_wind,medium_magnitude,visibility,pos
stab,lx_error,nn_sign,head_wind,strong_magnitude,visibility,pos
stab,lx_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,lx_error,nn_sign,tail_wind,low_magnitude,visibility,pos
stab,lx_error,nn_sign,tail_wind,medium_magnitude,visibility,pos
stab,lx_error,nn_sign,tail_wind,strong_magnitude,visibility,pos
stab,lx_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,xl_error,pp_sign,head_wind,low_magnitude,visibility,pos
stab,xl_error,pp_sign,head_wind,medium_magnitude,visibility,pos
stab,xl_error,pp_sign,head_wind,strong_magnitude,visibility,pos
stab,xl_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,xl_error,pp_sign,tail_wind,low_magnitude,visibility,pos
stab,xl_error,pp_sign,tail_wind,medium_magnitude,visibility,pos
stab,xl_error,pp_sign,tail_wind,strong_magnitude,visibility,pos
stab,xl_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,xl_error,nn_sign,head_wind,low_magnitude,visibility,pos
stab,xl_error,nn_sign,head_wind,medium_magnitude,visibility,pos
stab,xl_error,nn_sign,head_wind,strong_magnitude,visibility,pos
stab,xl_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,xl_error,nn_sign,tail_wind,low_magnitude,visibility,pos
stab,xl_error,nn_sign,tail_wind,medium_magnitude,visibility,pos
stab,xl_error,nn_sign,tail_wind,strong_magnitude,visibility,pos
stab,xl_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,mm_error,nn_sign,tail_wind,low_magnitude,visibility,pos
stab,mm_error,nn_sign,tail_wind,medium_magnitude,visibility,pos
stab,mm_error,nn_sign,tail_wind,strong_magnitude,visibility,pos
stab,mm_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,xl_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,xl_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,xl_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,xl_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,lx_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,lx_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,lx_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,lx_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,mm_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,mm_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,mm_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,mm_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,ss_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,ss_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,ss_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
stab,ss_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,xl_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,xl_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,xl_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,xl_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,lx_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,lx_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,lx_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,lx_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,mm_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,mm_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,mm_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,mm_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,ss_error,pp_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,ss_error,pp_sign,tail_wind,out_of_range_magnitude,visibility,pos
xstab,ss_error,nn_sign,head_wind,out_of_range_magnitude,visibility,pos
xstab,ss_error,nn_sign,tail_wind,out_of_range_magnitude,visibility,pos
stab,mm_error,pp_sign,head_wind,strong_magnitude,visibility,pos
stab,xl_error,pp_sign,head_wind,low_magnitude,novisibility,neg
stab,xl_error,pp_sign,head_wind,medium_magnitude,novisibility,neg
stab,xl_error,pp_sign,head_wind,strong_magnitude,novisibility,neg
stab,xl_error,pp_sign,head_wind,out_of_range_magnitude,novisibility,neg
stab,xl_error,pp_sign,tail_wind,low_magnitude,novisibility,neg
stab,xl_error,pp_sign,tail_wind,medium_magnitude,novisibility,neg
stab,xl_error,pp_sign,tail_wind,strong_magnitude,novisibility,neg
stab,xl_error,pp_sign,tail_wind,out_of_range_magnitude,novisibility,neg
stab,xl_error,nn_sign,head_wind,low_magnitude,novisibility,neg
stab,xl_error,nn_sign,head_wind,medium_magnitude,novisibility,neg
stab,xl_error,nn_sign,head_wind,strong_magnitude,novisibility,neg
stab,xl_error,nn_sign,head_wind,out_of_range_magnitude,novisibility,neg
stab,xl_error,nn_sign,tail_wind,low_magnitude,novisibility,neg
stab,xl_error,nn_sign,tail_wind,medium_magnitude,novisibility,neg
stab,xl_error,nn_sign,tail_wind,strong_magnitude,novisibility,neg
stab,xl_error,nn_sign,tail_wind,out_of_range_magnitude,novisibility,neg
stab,lx_error,pp_sign,head_wind,low_magnitude,novisibility,neg
stab,lx_error,pp_sign,head_wind,medium_magnitude,novisibility,neg
stab,lx_error,pp_sign,head_wind,strong_magnitude,novisibility,neg
stab,lx_error,pp_sign,head_wind,out_of_range_magnitude,novisibility,neg
stab,lx_error,pp_sign,tail_wind,low_magnitude,novisibility,neg
stab,lx_error,pp_sign,tail_wind,medium_magnitude,novisibility,neg
stab,lx_error,pp_sign,tail_wind,strong_magnitude,novisibility,neg
stab,lx_error,pp_sign,tail_wind,out_of_range_magnitude,novisibility,neg
stab,lx_error,nn_sign,head_wind,low_magnitude,novisibility,neg
stab,lx_error,nn_sign,head_wind,medium_magnitude,novisibility,neg
stab,lx_error,nn_sign,head_wind,strong_magnitude,novisibility,neg
stab,lx_error,nn_sign,head_wind,out_of_range_magnitude,novisibility,neg
stab,lx_error,nn_sign,tail_wind,low_magnitude,novisibility,neg
stab,lx_error,nn_sign,tail_wind,medium_magnitude,novisibility,neg
stab,lx_error,nn_sign,tail_wind,strong_magnitude,novisibility,neg
stab,lx_error,nn_sign,tail_wind,out_of_range_magnitude,novisibility,neg
stab,mm_error,pp_sign,head_wind,low_magnitude,novisibility,neg
stab,mm_error,pp_sign,head_wind,medium_magnitude,novisibility,neg
stab,mm_error,pp_sign,head_wind,strong_magnitude,novisibility,neg
stab,mm_error,pp_sign,head_wind,out_of_range_magnitude,novisibility,neg
stab,mm_error,pp_sign,tail_wind,low_magnitude,novisibility,neg
stab,mm_error,pp_sign,tail_wind,medium_magnitude,novisibility,neg
stab,mm_error,pp_sign,tail_wind,strong_magnitude,novisibility,neg
stab,mm_error,pp_sign,tail_wind,out_of_range_magnitude,novisibility,neg
stab,mm_error,nn_sign,head_wind,low_magnitude,novisibility,neg
stab,mm_error,nn_sign,head_wind,medium_magnitude,novisibility,neg
stab,mm_error,nn_sign,head_wind,strong_magnitude,novisibility,neg
stab,mm_error,nn_sign,head_wind,out_of_range_magnitude,novisibility,neg
stab,mm_error,nn_sign,tail_wind,low_magnitude,novisibility,neg
stab,mm_error,nn_sign,tail_wind,medium_magnitude,novisibility,neg
stab,mm_error,nn_sign,tail_wind,strong_magnitude,novisibility,neg
stab,mm_error,nn_sign,tail_wind,out_of_range_magnitude,novisibility,neg
stab,ss_error,pp_sign,head_wind,low_magnitude,novisibility,neg
stab,ss_error,pp_sign,head_wind,medium_magnitude,novisibility,neg
stab,ss_error,pp_sign,head_wind,strong_magnitude,novisibility,neg
stab,ss_error,pp_sign,head_wind,out_of_range_magnitude,novisibility,neg
stab,ss_error,pp_sign,tail_wind,low_magnitude,novisibility,neg
stab,ss_error,pp_sign,tail_wind,medium_magnitude,novisibility,neg
stab,ss_error,pp_sign,tail_wind,strong_magnitude,novisibility,neg
stab,ss_error,pp_sign,tail_wind,out_of_range_magnitude,novisibility,neg
stab,ss_error,nn_sign,head_wind,low_magnitude,novisibility,neg
stab,ss_error,nn_sign,head_wind,medium_magnitude,novisibility,neg
stab,ss_error,nn_sign,head_wind,strong_magnitude,novisibility,neg
stab,ss_error,nn_sign,head_wind,out_of_range_magnitude,novisibility,neg
stab,ss_error,nn_sign,tail_wind,low_magnitude,novisibility,neg
stab,ss_error,nn_sign,tail_wind,medium_magnitude,novisibility,neg
stab,ss_error,nn_sign,tail_wind,strong_magnitude,novisibility,neg
stab,ss_error,nn_sign,tail_wind,out_of_range_magnitude,novisibility,neg
xstab,xl_error,pp_sign,head_wind,low_magnitude,novisibility,neg
xstab,xl_error,pp_sign,head_wind,medium_magnitude,novisibility,neg
xstab,xl_error,pp_sign,head_wind,strong_magnitude,novisibility,neg
xstab,xl_error,pp_sign,head_wind,out_of_range_magnitude,novisibility,neg
xstab,xl_error,pp_sign,tail_wind,low_magnitude,novisibility,neg
xstab,xl_error,pp_sign,tail_wind,medium_magnitude,novisibility,neg
xstab,xl_error,pp_sign,tail_wind,strong_magnitude,novisibility,neg
xstab,xl_error,pp_sign,tail_wind,out_of_range_magnitude,novisibility,neg
xstab,xl_error,nn_sign,head_wind,low_magnitude,novisibility,neg
xstab,xl_error,nn_sign,head_wind,medium_magnitude,novisibility,neg
xstab,xl_error,nn_sign,head_wind,strong_magnitude,novisibility,neg
xstab,xl_error,nn_sign,head_wind,out_of_range_magnitude,novisibility,neg
xstab,xl_error,nn_sign,tail_wind,low_magnitude,novisibility,neg
xstab,xl_error,nn_sign,tail_wind,medium_magnitude,novisibility,neg
xstab,xl_error,nn_sign,tail_wind,strong_magnitude,novisibility,neg
xstab,xl_error,nn_sign,tail_wind,out_of_range_magnitude,novisibility,neg
xstab,lx_error,pp_sign,head_wind,low_magnitude,novisibility,neg
xstab,lx_error,pp_sign,head_wind,medium_magnitude,novisibility,neg
xstab,lx_error,pp_sign,head_wind,strong_magnitude,novisibility,neg
xstab,lx_error,pp_sign,head_wind,out_of_range_magnitude,novisibility,neg
xstab,lx_error,pp_sign,tail_wind,low_magnitude,novisibility,neg
xstab,lx_error,pp_sign,tail_wind,medium_magnitude,novisibility,neg
xstab,lx_error,pp_sign,tail_wind,strong_magnitude,novisibility,neg
xstab,lx_error,pp_sign,tail_wind,out_of_range_magnitude,novisibility,neg
xstab,lx_error,nn_sign,head_wind,low_magnitude,novisibility,neg
xstab,lx_error,nn_sign,head_wind,medium_magnitude,novisibility,neg
xstab,lx_error,nn_sign,head_wind,strong_magnitude,novisibility,neg
xstab,lx_error,nn_sign,head_wind,out_of_range_magnitude,novisibility,neg
xstab,lx_error,nn_sign,tail_wind,low_magnitude,novisibility,neg
xstab,lx_error,nn_sign,tail_wind,medium_magnitude,novisibility,neg
xstab,lx_error,nn_sign,tail_wind,strong_magnitude,novisibility,neg
xstab,lx_error,nn_sign,tail_wind,out_of_range_magnitude,novisibility,neg
xstab,mm_error,pp_sign,head_wind,low_magnitude,novisibility,neg
xstab,mm_error,pp_sign,head_wind,medium_magnitude,novisibility,neg
xstab,mm_error,pp_sign,head_wind,strong_magnitude,novisibility,neg
xstab,mm_error,pp_sign,head_wind,out_of_range_magnitude,novisibility,neg
xstab,mm_error,pp_sign,tail_wind,low_magnitude,novisibility,neg
xstab,mm_error,pp_sign,tail_wind,medium_magnitude,novisibility,neg
xstab,mm_error,pp_sign,tail_wind,strong_magnitude,novisibility,neg
xstab,mm_error,pp_sign,tail_wind,out_of_range_magnitude,novisibility,neg
xstab,mm_error,nn_sign,head_wind,low_magnitude,novisibility,neg
xstab,mm_error,nn_sign,head_wind,medium_magnitude,novisibility,neg
xstab,mm_error,nn_sign,head_wind,strong_magnitude,novisibility,neg
xstab,mm_error,nn_sign,head_wind,out_of_range_magnitude,novisibility,neg
xstab,mm_error,nn_sign,tail_wind,low_magnitude,novisibility,neg
xstab,mm_error,nn_sign,tail_wind,medium_magnitude,novisibility,neg
xstab,mm_error,nn_sign,tail_wind,strong_magnitude,novisibility,neg
xstab,mm_error,nn_sign,tail_wind,out_of_range_magnitude,novisibility,neg
xstab,ss_error,pp_sign,head_wind,low_magnitude,novisibility,neg
xstab,ss_error,pp_sign,head_wind,medium_magnitude,novisibility,neg
xstab,ss_error,pp_sign,head_wind,strong_magnitude,novisibility,neg
xstab,ss_error,pp_sign,head_wind,out_of_range_magnitude,novisibility,neg
xstab,ss_error,pp_sign,tail_wind,low_magnitude,novisibility,neg
xstab,ss_error,pp_sign,tail_wind,medium_magnitude,novisibility,neg
xstab,ss_error,pp_sign,tail_wind,strong_magnitude,novisibility,neg
xstab,ss_error,pp_sign,tail_wind,out_of_range_magnitude,novisibility,neg
xstab,ss_error,nn_sign,head_wind,low_magnitude,novisibility,neg
xstab,ss_error,nn_sign,head_wind,medium_magnitude,novisibility,neg
xstab,ss_error,nn_sign,head_wind,strong_magnitude,novisibility,neg
xstab,ss_error,nn_sign,head_wind,out_of_range_magnitude,novisibility,neg
xstab,ss_error,nn_sign,tail_wind,low_magnitude,novisibility,neg
xstab,ss_error,nn_sign,tail_wind,medium_magnitude,novisibility,neg
xstab,ss_error,nn_sign,tail_wind,strong_magnitude,novisibility,neg
xstab,ss_error,nn_sign,tail_wind,out_of_range_magnitude,novisibility,neg
stab,ss_error,pp_sign,head_wind,low_magnitude,visibility,neg
stab,ss_error,pp_sign,tail_wind,low_magnitude,visibility,neg
stab,ss_error,nn_sign,head_wind,low_magnitude,visibility,neg
stab,ss_error,nn_sign,tail_wind,low_magnitude,visibility,neg
stab,ss_error,pp_sign,head_wind,medium_magnitude,visibility,neg
stab,ss_error,pp_sign,tail_wind,medium_magnitude,visibility,neg
stab,ss_error,nn_sign,head_wind,medium_magnitude,visibility,neg
stab,ss_error,nn_sign,tail_wind,medium_magnitude,visibility,neg
stab,ss_error,pp_sign,head_wind,strong_magnitude,visibility,neg
stab,ss_error,pp_sign,tail_wind,strong_magnitude,visibility,neg
stab,ss_error,nn_sign,head_wind,strong_magnitude,visibility,neg
stab,ss_error,nn_sign,tail_wind,strong_magnitude,visibility,neg
stab,mm_error,pp_sign,head_wind,low_magnitude,visibility,neg
stab,mm_error,pp_sign,head_wind,medium_magnitude,visibility,neg
stab,mm_error,pp_sign,tail_wind,low_magnitude,visibility,neg
stab,mm_error,pp_sign,tail_wind,medium_magnitude,visibility,neg
stab,mm_error,pp_sign,tail_wind,strong_magnitude,visibility,neg